批	1000
闻	998
似	998
托	998
田	996
测	987
例	987
验	985
初	982
否	981
景	978
亡	969
纪	969
康	968
孙	968
嗡	968
普	967
软	966
河	964
承	963
倒	963
脑	960
润	960
亮	951
状	951
尽	947
义	946
救	946
兴	936
轻	935
录	932
镇	930
写	925
故	924
霞	922
罗	922
担	920
武	917
害	911
短	910
左	907
尼	906
治	904
卷	904
刷	903
待	896
冤	894
核	893
退	891
违	890
伟	889
追	888
判	887
母	886
略	886
胜	885
习	885
历	882
赶	882
虽	881
询	881
激	874
命	874
角	869
列	864
脸	863
绿	862
抓	861
评	860
苹	857
音	857
卫	853
介	853
遭	851
巴	850
令	849
涉	849
副	844
轮	842
革	841
征	839
杀	839
右	836
密	833
湾	833
街	830
签	828
切	828
室	822
背	820
寻	816
遇	816
肥	815
汉	815
跳	813
章	811
索	809
吴	806
访	805
适	802
移	802
凶	799
透	798
雨	798
捐	797
您	796
欧	796
另	795
止	795
惹	794
错	793
印	792
端	791
登	790
苏	790
申	789
啥	789
枉	788
戏	787
奖	782
律	778
歪	776
冲	775
草	774
慈	771
庆	770
摔	769
谈	769
谢	767
乡	767
租	764
洲	764
梅	763
耳	761
障	761
烟	761
洗	759
夺	754
狂	751
执	750
乎	747
顺	740
怕	736
航	736
毛	733
古	731
患	728
培	728
绝	726
纷	723
肉	723
派	721
夹	719
血	719
席	718
独	715
甩	714
播	713
迎	713
犯	712
旅	709
爆	709
抢	707
湖	706
馆	705
纳	702
艺	699
材	699
味	698
免	696
络	694
兰	692
洋	692
庭	690
牛	686
豪	684
冰	684
素	684
版	684
磁	679
徐	679
扯	678
笑	677
掉	676
良	675
罪	674
韩	674
皮	673
秀	671
野	669
舞	668
须	668
玉	668
吸	667
史	667
贵	666
画	664
拐	661
幕	660
借	660
董	660
毒	660
敏	659
奶	657
剧	657
辆	656
跌	651
爸	651
细	651
木	650
秒	650
届	647
央	645
币	644
括	639
池	638
童	635
逐	635
晓	634
讲	633
雷	633
坐	631
肯	629
敢	629
般	628
夏	627
喝	627
吻	624
奇	624
妇	624
礼	624
聊	624
贴	622
陆	620
估	615
织	615
扩	611
招	610
甚	610
靠	610
嫌	608
纺	607
丝	604
苦	600
抗	600
梦	600
顾	600
竟	597
汇	593
晨	592
赔	591
菜	589
丰	589
措	587
娘	586
休	585
乘	585
刑	585
脚	584
述	583
桥	582
径	581
困	579
骗	577
彩	576
择	575
急	574
妻	574
摄	572
附	568
坏	567
察	567
巨	564
烈	561
朝	559
延	559
父	554
享	553
疗	551
顶	550
